7

BossSpawn 19 -1
0 0 0 0
47 24 5 153
127 24 5 153
205 24 9 153
285 24 9 153
365 24 9 153
445 24 9 153
526 24 7 153
606 24 7 153
656 24 42 153
735 24 56 153
811 24 74 153
891 24 72 153
971 24 70 153
1050 24 66 153
1129 24 67 153
1206 24 71 153
1285 24 74 153
1383 24 57 153

BossIdle 13 0
1452 47 57 123
1452 47 57 123
1513 47 57 123
1574 47 57 123
1634 47 58 123
1694 47 60 123
1755 47 60 123
1817 47 60 123
1877 47 60 123
1939 47 59 123
2001 47 57 123
2062 47 57 123
2124 47 55 123

BossTeleport1 10 -1
9 549 57 125
73 549 56 125
135 549 57 125
194 549 62 125
259 549 59 125
324 549 57 125
386 549 65 125
464 549 37 125
531 549 21 125
0 0 0 0

BossTeleport2 9 -1
648 545 49 130
698 545 62 130
763 545 60 130
827 545 60 130
889 545 60 130
953 545 59 130
1017 545 57 130
1080 545 57 130
1144 545 55 130

BossDeath 13 -1
1216 546 57 140
1293 546 67 140
1374 546 65 140
1453 546 67 140
1534 546 65 140
1613 546 67 140
1694 546 66 140
1772 546 71 140
1850 546 76 140
1930 546 77 140
2009 546 78 140
2087 546 82 140
0 0 0 0

BossSummon 13 -1
544 356 57 170
607 356 56 170
668 356 57 170
734 356 49 170
789 356 53 170
851 356 54 170
913 356 53 170
976 356 53 170
1039 356 52 170
1101 356 54 170
1167 356 54 170
1226 356 54 170
1288 356 57 170

BossMagic 9 -1
7 356 57 137
68 356 52 137
128 356 49 137
183 356 58 137
242 356 58 137
300 356 59 137
359 356 59 137
419 356 57 137
480 356 55 137


RGB(255, 0, 255)
