

Openning 16 -1
6 837 140 92
6 938 140 93
5 1040 141 94
5 1141 142 97
4 1244 142 98
4 1350 142 100
4 1460 142 102
4 1573 142 106
4 1690 142 108
4 1810 142 114
5 1937 141 120
5 2071 141 128
6 2216 140 133
7 2364 139 140
7 2514 139 144
7 2673 139 145

Charge 16 -1
192 847 75 145
192 1014 75 145
192 1177 75 145
192 1340 75 145
189 1498 78 145
188 1660 79 145
188 1818 79 145
189 1974 78 145
305 843 75 145
305 1010 75 145
305 1173 75 145
305 1335 75 145
305 1495 75 145
305 1655 75 145
305 1812 75 145
305 1975 75 145

LaserStart 52 49
523 862 62 1
521 871 64 1
521 879 64 1
521 888 64 2
521 898 64 2
521 906 64 4
517 917 68 8
516 932 69 16
516 954 69 24
516 984 69 32
515 1022 70 48
514 1078 71 64
513 1147 72 78
513 1233 72 94
513 1342 72 112
513 1466 72 112
513 1588 72 126
513 1720 72 126
513 1855 72 126
510 1997 75 127
510 2131 75 126
510 2270 75 126
506 2404 79 126
506 2539 79 126
505 2677 80 126
610 852 80 126
602 999 88 126
602 1136 88 126
615 1274 75 126
611 1407 79 126
610 1545 80 126
602 1682 88 126
602 1817 88 126
615 1952 75 126
615 2084 75 126
611 2217 79 126
611 2353 79 126
610 2491 80 126
602 2630 88 126
705 848 88 126
705 982 75 126
705 1117 79 126
705 1261 80 126
705 1397 88 126
705 1533 75 126
705 1667 75 126
705 1803 79 126
705 1942 80 126
844 849 88 126
844 991 75 126
844 1131 79 126
844 1268 80 125

LaserBullet 54 51
417 851 14 1
415 860 16 1
415 870 16 1
415 880 16 2
415 880 16 2
415 891 16 2
415 601 16 4
415 910 16 8
415 925 16 16
415 948 16 24
415 981 16 32
415 1026 16 48
415 1086 16 64
415 1159 16 80
415 1251 16 96
415 1359 16 112
415 1480 16 112
415 1603 16 128
415 1743 16 128
415 1879 16 128
415 2014 16 128
415 2150 16 128
415 2283 16 128
415 2421 16 128
415 2556 16 128
415 2690 16 128
443 849 16 128
443 982 16 128
443 1114 16 128
443 1248 16 128
443 1381 16 128
443 1516 16 128
443 1649 16 128
443 1781 16 128
443 1914 16 128
443 2048 16 128
443 2183 16 128
443 2316 16 128
443 2451 16 128
443 2587 16 128
472 847 16 128
472 981 16 128
472 1115 16 128
472 1248 16 128
472 1518 16 128
472 1385 16 128
472 1653 16 128
472 1786 16 128
472 1921 16 128
472 2055 16 128
808 848 16 128
808 990 16 128
808 1130 16 128
808 1267 16 128
